iter	RMSE
193	77500.68879
194	77457.38216
195	77383.32433
196	77301.04697
197	77230.5092
198	77186.48056
199	77137.07147
200	77044.41797
201	77006.65135
202	76964.71412
203	76892.16407
204	76845.45733
205	76770.86491
206	76718.44801
207	76681.72565
208	76629.94585
209	76586.06416
210	76508.87453
211	76428.66086
212	76406.16261
213	76354.34687
214	76309.73672
215	76255.08956
216	76188.66222
217	76148.4901
218	76095.75088
219	76054.44906
220	76007.90379
221	75968.06794
222	75923.11826
223	75894.31448
224	75825.01078
225	75769.8921
226	75726.49768
227	75672.14881
228	75624.44806
229	75592.84082
230	75544.35488
231	75512.45468
232	75473.01961
233	75426.2664
234	75393.43582
235	75329.04164
236	75280.42785
237	75231.98557
238	75176.70048
239	75131.54064
240	75102.88108
241	75058.80182
242	75034.65733
243	74982.95505
244	74929.86755
245	74886.32466
246	74829.74327
247	74788.92908
248	74760.07674
249	74713.95881
250	74673.87739
251	74637.85376
252	74588.15802
253	74541.98397
254	74504.96017
255	74471.24412
256	74419.83212
257	74378.09515
258	74351.23434
259	74286.87366
260	74249.05141
261	74226.76287
262	74180.27705
263	74149.91123
264	74124.31186
265	74046.37817
266	74002.54747
267	73975.56704
268	73937.14432
269	73891.22782
270	73858.8481
271	73829.51585
272	73765.10218
273	73723.43497
274	73692.64925
275	73643.16738
276	73604.85425
277	73567.95057
278	73529.27764
279	73486.36119
280	73446.06654
281	73413.04761
282	73374.90405
283	73343.95013
284	73301.932
285	73262.11521
286	73220.17398
287	73185.06828
288	73140.60452
289	73110.68459
290	73082.75075
291	73045.54551
292	72997.89799
293	72972.01356
294	72937.73965
295	72907.63315
296	72876.57662
297	72833.0502
298	72806.02886
299	72771.8278
300	72723.83332
301	72690.30714
302	72655.6841
303	72608.89826
304	72585.30479
305	72552.50986
306	72522.06496
307	72492.98169
308	72448.06832
309	72398.52189
310	72373.57847
311	72325.68824
312	72305.1743
313	72259.79901
314	72232.49365
315	72196.72957
316	72166.42247
317	72123.25713
318	72079.70311
319	72050.73519
320	72022.85932
321	71994.32622
322	71942.10897
323	71902.61853
324	71879.78766
325	71859.09902
326	71842.14543
327	71802.54166
328	71770.56877
329	71742.92448
330	71719.09979
331	71680.83182
332	71651.48231
333	71631.55457
334	71604.16514
335	71564.74402
336	71548.37158
337	71524.57071
338	71498.46921
339	71469.8931
340	71425.54608
341	71394.5433
342	71361.00846
343	71326.26078
344	71280.38682
345	71235.99045
346	71215.13258
347	71174.22935
348	71159.65164
349	71129.9305
350	71095.47098
351	71067.55367
352	71028.98347
353	70996.94665
354	70960.81905
355	70918.24791
356	70897.42673
357	70870.99406
358	70842.69249
359	70803.29366
360	70777.62189
361	70753.02569
362	70715.34446
363	70694.89119
364	70661.67926
365	70622.73334
366	70599.34958
367	70580.88773
368	70554.82969
369	70530.19769
370	70481.85747
371	70475.26166
372	70434.35183
373	70403.64405
374	70380.85416
375	70361.81502
376	70318.02964
377	70287.44428
378	70252.15856
379	70216.99093
380	70188.14929
381	70166.17003
382	70108.3085
383	70084.91426
384	70058.70814
385	70030.63578
386	69989.77292
387	69949.08242
388	69922.94881
389	69905.45718
390	69873.8547
391	69858.05686
392	69821.97588
393	69794.04159
394	69758.78013
395	69744.97444
396	69731.81654
397	69704.16684
398	69679.18338
399	69650.50062
400	69626.47263
401	69616.72691
402	69596.4583
403	69573.09874
404	69554.30475
405	69533.69042
406	69520.54298
407	69479.97315
408	69446.98729
409	69422.66478
410	69375.66368
411	69349.47905
412	69326.25653
413	69311.08378
414	69291.59052
415	69263.65722
416	69245.75306
417	69231.10923
418	69206.84006
419	69190.73211
420	69167.43148
421	69156.42599
422	69121.94786
423	69100.51647
424	69084.22499
425	69067.77214
426	69043.14704
427	69020.39545
428	69005.07933
429	68983.21304
430	68959.54957
431	68937.52938
432	68913.65842
433	68886.14453
434	68853.03231
435	68828.58396
436	68808.4477
437	68787.24607
438	68754.54507
439	68731.40349
440	68721.7269
441	68714.53974
442	68691.36829
443	68669.27962
444	68649.9121
445	68634.93767
446	68589.70863
447	68553.91
448	68522.28382
449	68487.37956
450	68442.27044
451	68432.68399
452	68405.55536
453	68379.19592
454	68351.58233
455	68320.52857
456	68291.48273
457	68274.54366
458	68259.01309
459	68229.51793
460	68222.98865
461	68205.25771
462	68180.39149
463	68165.50997
464	68153.91484
465	68134.62891
466	68110.53678
467	68091.9417
468	68066.12377
469	68041.56197
470	68028.95834
471	68015.6569
472	67990.31408
473	67966.04707
474	67936.58188
475	67918.27745
476	67893.97023
477	67878.75684
478	67863.37231
479	67827.83912
480	67810.32812
481	67796.9261
482	67778.65725
483	67761.5304
484	67721.78951
485	67677.10025
486	67656.02487
487	67636.99154
488	67609.59968
489	67585.51702
490	67550.05163
491	67532.52306
492	67513.36686
493	67479.80862
494	67456.22516
495	67446.041
496	67416.88501
497	67388.61936
498	67362.63506
499	67336.0922
500	67320.40212
501	67297.41102
502	67272.55091
503	67242.20458
504	67222.04595
505	67204.66205
506	67187.4441
507	67168.57931
508	67146.4942
509	67134.20235
510	67113.14678
511	67087.53639
512	67075.76382
513	67042.2875
514	67015.17284
515	66994.18865
516	66985.48621
517	66974.27743
518	66962.82405
519	66949.5024
520	66923.56143
521	66914.01506
522	66894.82051
523	66885.96946
524	66868.74621
525	66854.34107
526	66833.53792
527	66804.12708
528	66768.88361
529	66764.22789
530	66737.61045
531	66718.31585
532	66704.28424
533	66684.36236
534	66664.92747
535	66643.95093
536	66632.79826
537	66621.23666
538	66593.51651
539	66578.25133
540	66564.94222
541	66551.69021
542	66534.34526
543	66519.05514
544	66490.28801
545	66462.13504
546	66436.65576
547	66418.10514
548	66401.36226
549	66391.16802
550	66369.03139
551	66348.37026
552	66317.12307
553	66301.17803
554	66284.47904
555	66265.19106
556	66247.1279
557	66233.58892
558	66211.91969
559	66180.22932
560	66159.213
561	66151.16563
562	66132.04626
563	66111.82516
564	66090.46989
565	66080.33879
566	66067.5394
567	66054.96069
568	66039.18014
569	66025.0301
570	65996.23699
571	65968.30404
572	65955.12092
573	65940.2081
574	65929.06676
575	65909.4063
576	65881.45326
577	65852.94444
578	65836.84891
579	65809.07861
580	65787.6732
581	65767.60857
582	65741.88076
583	65711.88338
584	65693.20819
585	65674.26976
586	65655.83743
587	65640.36181
588	65623.58049
589	65597.83008
590	65571.22211
591	65541.13821
592	65524.69688
593	65503.3215
594	65481.6563
595	65469.59509
596	65448.52532
597	65438.04182
598	65419.20688
599	65406.44407
600	65399.4184
601	65382.72061
602	65361.51628
603	65330.17441
604	65304.83432
605	65297.99251
606	65285.21757
607	65267.37721
608	65252.77643
609	65237.15499
610	65222.26406
611	65204.72675
612	65188.47588
613	65173.74953
614	65163.04994
615	65151.07714
616	65128.09768
617	65106.17325
618	65097.85176
619	65086.81802
620	65068.34875
621	65042.0639
622	65019.53262
623	65002.26189
624	64976.82663
625	64961.48424
626	64938.02316
627	64915.60084
628	64892.51454
629	64878.04037
630	64871.17062
631	64850.57237
632	64836.1182
633	64816.49807
634	64800.02709
635	64773.02188
636	64762.58188
637	64739.96633
638	64715.25675
639	64703.91142
640	64692.63408
641	64671.96047
642	64648.82141
643	64636.91538
644	64612.69841
645	64584.59885
646	64572.19931
647	64554.42831
648	64528.1004
649	64501.60173
650	64482.77844
651	64459.81407
652	64442.20247
653	64432.07829
654	64418.29514
655	64407.62406
656	64384.94817
657	64374.9819
658	64356.24927
659	64343.41265
660	64328.54764
661	64313.44179
662	64293.35315
663	64272.44281
664	64244.60521
665	64233.83506
666	64217.65462
667	64200.66951
668	64186.99004
669	64167.03565
670	64153.466
671	64143.49457
672	64122.43092
673	64107.16102
674	64080.09184
675	64068.54893
676	64052.48842
677	64034.66816
678	64017.97707
679	63993.57733
680	63977.31575
681	63970.36663
682	63959.45077
683	63931.28059
684	63909.53444
685	63899.65399
686	63881.32375
687	63863.00601
688	63847.89139
689	63822.56349
690	63804.75089
691	63793.35975
692	63781.33301
693	63769.78731
694	63754.69888
695	63731.58305
696	63715.86157
697	63701.44243
698	63683.64227
699	63676.06614
700	63657.26548
701	63651.80799
702	63638.00655
703	63618.15925
704	63598.45962
705	63572.14405
706	63567.62074
707	63549.25513
708	63536.93847
709	63525.57949
710	63507.8604
711	63491.55616
712	63484.91383
713	63460.15623
714	63450.0965
715	63436.82442
716	63421.15734
717	63408.1644
718	63380.77443
719	63368.87593
720	63358.81162
721	63340.77507
722	63322.02881
723	63301.59274
724	63289.44647
725	63277.2267
726	63265.0099
727	63253.48689
728	63233.71493
729	63216.41398
730	63199.80123
731	63192.74983
732	63170.66309
733	63156.54014
734	63149.84396
735	63140.2388
736	63136.01008
737	63122.18443
738	63110.58889
739	63092.22199
740	63076.50059
741	63052.90751
742	63030.91164
743	63016.62703
744	62999.86789
745	62990.18665
746	62978.05739
747	62964.11898
748	62942.38445
749	62919.18872
750	62909.3992
751	62894.81091
752	62883.27619
753	62870.04489
754	62861.94176
755	62843.81508
756	62836.40843
757	62818.0946
758	62806.84077
759	62788.64061
760	62774.04559
761	62764.96188
762	62750.21375
763	62733.04293
764	62710.85419
765	62688.05124
766	62672.0789
767	62663.40716
768	62638.48197
769	62621.01467
770	62595.23838
771	62577.56687
772	62566.20636
773	62558.21859
774	62540.20861
775	62519.52258
776	62497.84437
777	62481.25268
778	62477.28616
779	62467.18921
780	62449.82405
781	62435.37502
782	62420.80745
783	62406.26067
784	62393.76513
785	62383.29453
786	62367.89529
787	62348.09413
788	62332.32435
789	62319.16424
790	62304.46142
791	62295.8276
792	62287.18092
793	62259.9347
794	62248.22787
795	62234.44504
796	62216.21663
797	62199.19607
798	62184.50748
799	62174.77012
800	62156.3492
801	62133.05358
802	62109.42278
803	62092.23993
804	62072.64072
805	62050.63499
806	62034.83829
807	62017.23972
808	61996.88185
809	61969.7831
810	61958.71256
811	61951.17417
812	61934.80644
813	61918.86553
814	61901.67247
815	61878.22813
816	61866.10523
817	61850.85705
818	61829.63215
819	61807.51934
820	61793.86496
821	61782.23569
822	61769.82404
823	61745.84155
824	61721.78635
825	61708.6205
826	61683.9514
827	61672.79582
828	61659.42001
829	61637.27958
830	61623.90732
831	61606.11484
832	61596.05656
833	61587.57031
834	61564.64102
835	61538.96387
836	61522.02409
837	61509.68068
838	61497.06189
839	61485.12825
840	61472.48452
841	61451.82006
842	61442.78799
843	61429.29183
844	61419.452
845	61411.0417
846	61404.51349
847	61399.09346
848	61389.21388
849	61374.91888
850	61351.68442
851	61340.00345
852	61334.30235
853	61320.55092
854	61301.53258
855	61285.44137
856	61275.4673
857	61260.36922
858	61249.18817
859	61234.01551
860	61228.98719
861	61217.31765
862	61202.45193
863	61185.79527
864	61173.91753
865	61147.58813
866	61129.50982
867	61116.90846
868	61101.74881
869	61084.5466
870	61075.65106
871	61056.1328
872	61042.22765
873	61036.81869
874	61011.60291
875	60996.95703
876	60982.75718
877	60974.27288
878	60965.97176
879	60938.34775
880	60917.33215
881	60905.01624
882	60896.22938
883	60876.32582
884	60860.25011
885	60847.71445
886	60832.89413
887	60824.90182
888	60810.92474
889	60803.79968
890	60792.51211
891	60776.83192
892	60767.67711
893	60753.96176
894	60743.48866
895	60735.3431
896	60727.19747
897	60708.3301
898	60694.02023
899	60685.35264
900	60671.38072
901	60659.34575
902	60650.84498
903	60636.20004
904	60619.61679
905	60603.85119
906	60586.16864
907	60571.14835
908	60548.87879
909	60537.64729
910	60524.08524
911	60509.76167
912	60505.66338
913	60493.67044
914	60481.82563
915	60471.57953
916	60464.46817
917	60449.83066
918	60430.49424
919	60415.54329
920	60410.52412
921	60399.74385
922	60381.52799
923	60366.3241
924	60349.61332
925	60337.19756
926	60324.89759
927	60315.4094
928	60298.90518
929	60288.39706
930	60275.35184
931	60255.93617
932	60238.77545
933	60225.24958
934	60214.9621
935	60203.48267
936	60196.71847
937	60188.4132
938	60176.41874
939	60165.71011
940	60156.25448
941	60141.0593
942	60123.34511
943	60111.81301
944	60103.81134
945	60089.56737
946	60074.84818
947	60065.79846
948	60055.07357
949	60045.10098
950	60042.53143
951	60031.08321
952	60012.48709
953	59997.24289
954	59978.67732
955	59971.27258
956	59951.84472
957	59927.89037
958	59911.82046
959	59901.49593
960	59890.02159
961	59877.87171
962	59869.784
963	59860.08259
964	59840.49371
965	59832.69501
966	59820.2257
967	59809.62467
968	59796.00861
969	59778.48268
970	59765.04832
971	59760.45544
972	59742.57113
973	59724.45488
974	59711.93805
975	59696.93499
976	59682.473
977	59676.49158
978	59665.64987
979	59655.42728
980	59646.89668
981	59638.95178
982	59624.59664
983	59613.14028
984	59600.78598
985	59592.09266
986	59583.07861
987	59571.52947
988	59552.13986
989	59543.10327
990	59532.81382
991	59515.54486
992	59513.14842
993	59493.8497
994	59485.40722
995	59474.81925
996	59466.79174
997	59455.05379
998	59438.53184
999	59424.19721
